min_support,frequent_itemsets,rules_before_filter,rules_after_filter,avg_confidence,avg_lift,max_lift,time_seconds
0.01,2120,3856,1794,0.5351891679949311,13.570162011790325,74.56704473850031,52.1441068649292
0.015,755,738,456,0.5136503912636162,9.803067875435012,39.55678196475441,4.05155873298645
0.02,400,218,175,0.4986644090711957,8.842167882537739,27.200282185791455,1.5102465152740479
0.03,145,22,21,0.5872021536939835,10.053049731386876,15.865302079894358,0.29618287086486816
